id_discente,codigo,timestamp
999004,QXD0046_APROVADO,2020-12-01
999004,verificador,2020-12-02
999004,QXD0110,2021-02-01
999004,QXD0110_APROVADO,2021-06-01
999005,Iniciou,2017-01-01
999005,QXD0005,2017-02-01
999005,QXD0103,2017-02-01
999005,QXD0001,2017-02-01
999005,QXD0108,2017-02-01
999005,QXD0056,2017-02-01
999005,QXD0109,2017-02-01
999005,QXD0005_APROVADO,2017-06-01
999005,QXD0103_APROVADO,2017-06-01
999005,QXD0001_APROVADO,2017-06-01
999005,QXD0108_APROVADO,2017-06-01
999005,QXD0056_APROVADO,2017-06-01
999005,QXD0109_APROVADO,2017-06-01
999005,QXD0006,2017-08-01
999005,QXD0010,2017-08-01
999005,QXD0008,2017-08-01
999005,QXD0007,2017-08-01
999005,QXD0013,2017-08-01
999005,QXD0006_APROVADO,2017-12-01
999005,QXD0010_APROVADO,2017-12-01
999005,QXD0008_APROVADO,2017-12-01
999005,QXD0007_APROVADO,2017-12-01
999005,QXD0013_APROVADO,2017-12-01
999005,QXD0115,2018-02-01
999005,QXD0040,2018-02-01
999005,QXD0017,2018-02-01
999005,QXD0012,2018-02-01
999005,QXD0114,2018-02-01
999005,QXD0115_APROVADO,2018-06-01
999005,QXD0040_APROVADO,2018-06-01
999005,QXD0017_APROVADO,2018-06-01
999005,QXD0012_APROVADO,2018-06-01
999005,QXD0114_APROVADO,2018-06-01
999005,QXD0116,2018-08-01
999005,QXD0014,2018-08-01
999005,QXD0011,2018-08-01
999005,QXD0016,2018-08-01
999005,QXD0041,2018-08-01
999005,QXD0116_APROVADO,2018-12-01
999005,QXD0014_APROVADO,2018-12-01
999005,QXD0011_APROVADO,2018-12-01
999005,QXD0016_APROVADO,2018-12-01
999005,QXD0041_APROVADO,2018-12-01
999005,QXD0025,2019-02-01
999005,QXD0119,2019-02-01
999005,QXD0020,2019-02-01
999005,QXD0120,2019-02-01
999005,QXD0021,2019-02-01
999005,QXD0043,2019-02-01
999005,QXD0025_APROVADO,2019-06-01
999005,QXD0119_APROVADO,2019-06-01
999005,QXD0020_APROVADO,2019-06-01
999005,QXD0120_APROVADO,2019-06-01
999005,QXD0021_APROVADO,2019-06-01
999005,QXD0043_APROVADO,2019-06-01
999005,QXD0019,2019-08-01
999005,QXD0037,2019-08-01
999005,QXD0038,2019-08-01
999005,QXD0046,2019-08-01
999005,QXD0019_APROVADO,2019-12-01
999005,QXD0037_APROVADO,2019-12-01
999005,QXD0038_APROVADO,2019-12-01
999005,QXD0046_APROVADO,2019-12-01
999005,verificador,2019-12-02
999005,QXD0029,2020-02-01
999005,QXD0110,2020-02-01
999005,QXD0029_APROVADO,2020-06-01
999005,QXD0110_APROVADO,2020-06-01
999006,Iniciou,2017-01-01
999006,QXD0005,2017-02-01
999006,QXD0103,2017-02-01
999006,QXD0001,2017-02-01
999006,QXD0108,2017-02-01
999006,QXD0056,2017-02-01
999006,QXD0109,2017-02-01
999006,QXD0005_APROVADO,2017-06-01
999006,QXD0103_APROVADO,2017-06-01
999006,QXD0001_APROVADO,2017-06-01
999006,QXD0108_APROVADO,2017-06-01
999006,QXD0056_APROVADO,2017-06-01
999006,QXD0109_APROVADO,2017-06-01
999006,QXD0006,2017-08-01
999006,QXD0010,2017-08-01
999006,QXD0008,2017-08-01
999006,QXD0007,2017-08-01
999006,QXD0013,2017-08-01
999006,QXD0006_APROVADO,2017-12-01
999006,QXD0010_APROVADO,2017-12-01
999006,QXD0008_REPROVADO,2017-12-01
999006,QXD0007_APROVADO,2017-12-01
999006,QXD0013_APROVADO,2017-12-01
999006,QXD0115,2018-02-01
999006,QXD0011,2018-02-01
999006,QXD0016,2018-02-01
999006,QXD0008,2018-02-01
999006,QXD0012,2018-02-01
999006,QXD0114,2018-02-01
999006,QXD0115_REPROVADO,2018-06-01
999006,QXD0011_APROVADO,2018-06-01
999006,QXD0016_APROVADO,2018-06-01
999006,QXD0008_REPROVADO,2018-06-01
999006,QXD0012_APROVADO,2018-06-01
999006,QXD0114_REPROVADO,2018-06-01
999006,QXD0116,2018-08-01
999006,QXD0014,2018-08-01
999006,QXD0038,2018-08-01
999006,QXD0008,2018-08-01
999006,QXD0116_APROVADO,2018-12-01
999006,QXD0014_APROVADO,2018-12-01
999006,QXD0038_APROVADO,2018-12-01
999006,QXD0008_APROVADO,2018-12-01
999006,QXD0115,2019-02-01
999006,QXD0040,2019-02-01
999006,QXD0017,2019-02-01
999006,QXD0114,2019-02-01
999006,QXD0021,2019-02-01
999006,QXD0115_APROVADO,2019-06-01
999006,QXD0040_APROVADO,2019-06-01
999006,QXD0017_REPROVADO,2019-06-01
999006,QXD0114_REPROVADO,2019-06-01
999006,QXD0021_APROVADO,2019-06-01
999006,QXD0025,2019-08-01
999006,QXD0019,2019-08-01
999006,QXD0017,2019-08-01
999006,QXD0041,2019-08-01
999006,QXD0046,2019-08-01
999006,QXD0025_APROVADO,2019-12-01
999006,QXD0019_APROVADO,2019-12-01
999006,QXD0017_APROVADO,2019-12-01
999006,QXD0041_APROVADO,2019-12-01
999006,QXD0046_APROVADO,2019-12-01
999006,QXD0119,2020-02-01
999006,QXD0020,2020-02-01
999006,QXD0120,2020-02-01
999006,QXD0114,2020-02-01
999006,QXD0110,2020-02-01
999006,QXD0119_APROVADO,2020-06-01
999006,QXD0020_APROVADO,2020-06-01
999006,QXD0120_APROVADO,2020-06-01
999006,QXD0114_APROVADO,2020-06-01
999006,QXD0110_APROVADO,2020-06-01
999006,QXD0029,2020-08-01
999006,QXD0037,2020-08-01
999006,QXD0043,2020-08-01
999006,QXD0029_APROVADO,2020-12-01
999006,QXD0037_APROVADO,2020-12-01
999006,QXD0043_APROVADO,2020-12-01
999006,verificador,2020-12-02
999007,Iniciou,2020-01-01
999007,QXD0005,2020-02-01
999007,QXD0103,2020-02-01
999007,QXD0001,2020-02-01
999007,QXD0108,2020-02-01
999007,QXD0056,2020-02-01
999007,QXD0109,2020-02-01
999007,QXD0005_SUPRIMIDO,2020-06-01
999007,QXD0103_APROVADO,2020-06-01
999007,QXD0001_APROVADO,2020-06-01
999007,QXD0108_APROVADO,2020-06-01
999007,QXD0056_APROVADO,2020-06-01
999007,QXD0109_APROVADO,2020-06-01
999007,QXD0116,2020-08-01
999007,QXD0005,2020-08-01
999007,QXD0010,2020-08-01
999007,QXD0008,2020-08-01
999007,QXD0007,2020-08-01
999007,QXD0116_APROVADO,2020-12-01
999007,QXD0005_APROVADO,2020-12-01
999007,QXD0010_SUPRIMIDO,2020-12-01
999007,QXD0008_SUPRIMIDO,2020-12-01
999007,QXD0007_SUPRIMIDO,2020-12-01
999007,QXD0029,2021-02-01
999007,QXD0010,2021-02-01
999007,QXD0120,2021-02-01
999007,QXD0007,2021-02-01
999007,QXD0029_APROVADO,2021-06-01
999007,QXD0010_REPROVADO,2021-06-01
999007,QXD0120_APROVADO,2021-06-01
999007,QXD0007_APROVADO,2021-06-01
999007,QXD0119,2021-08-01
999007,QXD0038,2021-08-01
999007,QXD0008,2021-08-01
999007,QXD0012,2021-08-01
999007,QXD0013,2021-08-01
999007,QXD0119_SUPRIMIDO,2021-12-01
999007,QXD0038_APROVADO,2021-12-01
